@RELATION B57-S0378_medias
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE class {L4,L24}
@DATA
0.00836420080627781,0.025,0.440181834179757,0.01672104013726818,0.025,0.4455376587781418,0.014194991694582467,0.025,0.44352922455374744,0.021256077928919575,0.025,0.44821557107733434,0.03076864319575696,0.025,0.45290191760092113,0.026177579686402015,0.025,0.45089348337652674,0.020583669290122345,0.025,0.4475460930025363,L4
0.011483906990211401,0.025,0.44199215754528254,0.0144120847834479,0.025,0.44404158022323587,0.012177549963767189,0.025,0.4423337279916079,0.013032310545813301,0.025,0.44301686888425923,0.013725953519369088,0.025,0.4433584393305848,0.012915451431974506,0.025,0.4430168688842592,0.012455526686096306,0.025,0.44267529843793363,L4
0.021952876753318636,0.025,0.447651011208288,0.011976590670500706,0.025,0.44240510092069085,0.015296210925824888,0.025,0.4439039324314329,0.012729286907960298,0.025,0.44315451667606187,0.013608902918294575,0.025,0.44290471142427157,0.0112129071564927,NaN,0.4421552956689006,0.010962008410672833,0.025,0.44190549041711025,L4
0.014309401242374281,0.025,0.44392772340779385,0.021748142325289887,0.025,0.4487097096563519,0.0209073901362091,0.025,0.44791271194825893,0.01830662254607108,0.025,0.446318716532073,0.019650431146328733,0.025,0.44631871653207295,0.02082610449547985,0.025,0.4476470460455612,0.016045352363043948,0.025,0.4444590552131894,L4
0.011748899366558426,0.025,0.44233372799160786,0.012646118703895974,0.025,0.44286505979700336,0.012912947528815511,0.025,0.44313072569970097,0.012339024164654266,0.025,0.4425993938943056,0.01381016686615306,0.025,0.4436620575050963,0.014955993188726889,0.025,0.443927723407794,0.012822057106940891,0.025,0.44313072569970097,L4
0.009897204322115292,0.025,0.44104967612856927,0.011196198352604037,0.025,0.44197950678801107,0.011156037866716541,0.025,0.4416695632348638,0.019655395827093566,0.025,0.44755849074466203,0.010566781580303412,0.025,0.4416695632348639,0.007850669201703546,NaN,0.43980990191598024,0.008685347444223243,NaN,0.4404297890222748,L4
0.010966318564526812,0.025,0.44179781573961446,0.01203961019953313,0.025,0.4423749520109922,0.01149733837708594,0.025,0.4420863838753033,0.016047441725050297,0.025,0.44439492896081395,0.010911329658047426,NaN,0.44179781573961446,0.012952841025603637,0.025,0.44324065641805865,0.011787169686912333,NaN,0.4423749520109921,L4
0.013809321996832236,0.025,0.44337132878138946,0.016733032613916485,0.025,0.44558186959440205,0.017109934781181772,0.025,0.4455818695944021,0.024465035642042,0.025,0.4490555765862791,0.01619977961153662,0.025,0.44526607804968593,0.014174807160094541,0.025,0.44400291187082164,0.0168194122493515,0.025,0.4449502865049699,L4
0.01565582192248695,0.025,0.4446303398083496,0.014436322051507688,0.025,0.44374944760466795,0.015359291494223376,0.025,0.4444101167574291,0.015255413036117774,0.025,0.44418989370650885,0.01684194363554126,0.025,0.44551123201203124,0.015161796448218398,0.025,0.4446303398083496,0.012855210246443432,NaN,0.443309001502827,L24
0.011907957604839007,0.025,0.44233372799160786,0.01177162197202708,0.025,0.4423337279916078,0.013866302542365237,0.025,0.44352922455374727,0.013181236963911127,0.025,0.44332997512672406,0.012844779712409545,0.025,0.4431307256997008,0.010225671347331105,0.025,0.4413374808564917,0.011166875285429883,0.025,0.44193522913756145,L24
